registry_section,item_name,item_kind,source_category,source,definition,granularity,temporal_scope,coverage_pct,missing_pct,leak_safe_reason,status_note
feature,exog_orientation_sin,feature,usable_now_exogenous,road_network_geometry,Sine of the edge orientation angle derived from endpoints.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_orientation_cos,feature,usable_now_exogenous,road_network_geometry,Cosine of the edge orientation angle derived from endpoints.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_distance_from_network_centroid_km,feature,usable_now_exogenous,road_network_geometry,Distance from edge midpoint to canonical network centroid.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_source_way_segment_count,feature,usable_now_exogenous,road_network_edges,Number of canonical edge segments derived from the same source_osm_id.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_source_way_total_length_m,feature,usable_now_exogenous,road_network_edges,Total canonical edge length derived from the same source_osm_id.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_source_way_mean_segment_length_m,feature,usable_now_exogenous,road_network_edges,Mean canonical segment length for the same source_osm_id.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_temporal_is_night_flag,feature,usable_now_exogenous,panel_calendar,Flag for night bins 00_03 or 20_23.,edge + temporal_bin_4h + is_weekend,temporal,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_temporal_is_peak_commute_flag,feature,usable_now_exogenous,panel_calendar,Flag for bins 08_11 or 16_19.,edge + temporal_bin_4h + is_weekend,temporal,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_temporal_is_weekday_peak_flag,feature,usable_now_exogenous,panel_calendar,Flag for commute bins on weekdays.,edge + temporal_bin_4h + is_weekend,temporal,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_temporal_is_weekend_night_flag,feature,usable_now_exogenous,panel_calendar,Flag for night bins on weekends.,edge + temporal_bin_4h + is_weekend,temporal,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
