registry_section,column_name,audit_bucket,source_phase,rebuild_status,definition_or_reason,support_column,missing_flag_column,fallback_level_column
current_table_audit,edge_bin_accident_count_prior_1y,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_bin_accident_count_prior_2y,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_bin_accident_count_prior_change_1y,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_bin_accident_count_prior_recent_3y,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_bin_active_years_prior_recent_3y,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_bin_recent_activity_flag,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_bin_share_of_edge_prior_recent_3y,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_bin_years_since_last_accident,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_first_year,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_id,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_last_year,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_length_bin,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_length_m,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_years_observed_prior,potentially_rebuildable_as_lagged,training_table_with_lag_safe_features,not_used_directly_in_this_phase,Not reused directly because zero-only controls inherit sampled support windows.,,,
current_table_audit,edge_years_since_last_accident,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,exposure_proxy_value_full_period_reference,potentially_rebuildable_as_lagged,training_table_with_lag_safe_features,not_used_directly_in_this_phase,M11 full-period exposure proxy; would require cutoff-specific rebuild.,,,
current_table_audit,exposure_quality_flag_full_period_reference,potentially_rebuildable_as_lagged,training_table_with_lag_safe_features,not_used_directly_in_this_phase,M11 full-period quality flag; would require cutoff-specific rebuild.,,,
current_table_audit,high_confidence_accident_count,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,historical_count_raw_full_period_reference,potentially_rebuildable_as_lagged,training_table_with_lag_safe_features,not_used_directly_in_this_phase,Full-period accident-backed reference; only usable if rebuilt by cutoff.,,,
current_table_audit,historical_count_weighted_full_period_reference,potentially_rebuildable_as_lagged,training_table_with_lag_safe_features,not_used_directly_in_this_phase,Full-period accident-backed reference; only usable if rebuilt by cutoff.,,,
current_table_audit,historical_exposure_adjusted_score_prelim_full_period_reference,potentially_rebuildable_as_lagged,training_table_with_lag_safe_features,not_used_directly_in_this_phase,M11 full-period adjusted score; would require cutoff-specific rebuild.,,,
current_table_audit,historical_score_prelim_full_period_reference,potentially_rebuildable_as_lagged,training_table_with_lag_safe_features,not_used_directly_in_this_phase,Heuristic full-period score; not leak-safe as predictor.,,,
current_table_audit,hour_cos,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,hour_cos_full_period_reference,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,hour_sin,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,hour_sin_full_period_reference,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,intensidad_context_full_period_reference,potentially_rebuildable_as_lagged,training_table_with_lag_safe_features,not_used_directly_in_this_phase,M12 full-period contextual mean; rebuilt safely in this phase instead.,,,
current_table_audit,is_weekend,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,is_zero_only_control,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,low_confidence_accident_count,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,medium_confidence_accident_count,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,ocupacion_context_full_period_reference,potentially_rebuildable_as_lagged,training_table_with_lag_safe_features,not_used_directly_in_this_phase,M12 full-period contextual mean; rebuilt safely in this phase instead.,,,
current_table_audit,panel_definition,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,panel_support_first_year,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,panel_support_last_year,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,recent_activity_flag,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,reference_feature_warning,unsafe_due_to_leakage,training_table_with_lag_safe_features,not_applicable,Administrative warning about reference-only full-period columns.,,,
current_table_audit,road_class,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,sampling_stratum,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,target_definition,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,temporal_bin_4h,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,temporal_bin_center_hour,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,temporal_bin_end_hour,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,temporal_bin_start_hour,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,zero_generation_rule,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
source_phase_audit,historical_exposure_adjusted_score_prelim,potentially_rebuildable_as_lagged,M11,not_rebuilt_in_this_phase,Requires cutoff-specific recomputation of the accident-backed exposure proxy and its edge crosswalk.,,,
source_phase_audit,exposure_proxy_value,potentially_rebuildable_as_lagged,M11,not_rebuilt_in_this_phase,Would need cutoff-specific recomputation of sensor-edge evidence before each analysis year.,,,
source_phase_audit,exposure_quality_flag,potentially_rebuildable_as_lagged,M11,not_rebuilt_in_this_phase,Depends on a cutoff-specific exposure proxy rebuild.,,,
source_phase_audit,intensidad_context,potentially_rebuildable_as_lagged,M12,rebuilt_in_this_phase,Rebuilt safely as prior mean intensity using only years strictly before the row analysis_year.,,,
source_phase_audit,ocupacion_context,potentially_rebuildable_as_lagged,M12,rebuilt_in_this_phase,Rebuilt safely as prior mean occupancy using only years strictly before the row analysis_year.,,,
source_phase_audit,dynamic_context_signal_prelim,potentially_rebuildable_as_lagged,M12,rebuilt_in_this_phase,Rebuilt safely from prior contextual intensity/occupancy means after fallback resolution.,,,
source_phase_audit,context_observation_n,potentially_rebuildable_as_lagged,M12,rebuilt_in_this_phase,Rebuilt safely as prior joint support count with explicit fallback.,,,
new_contextual_feature,prior_mean_intensity_context,safe_now,rebuilt_from_m9_plus_accident_master,built_in_this_phase,Prior mean traffic intensity for the row context after hierarchical fallback.,prior_mean_intensity_context_support_n,prior_mean_intensity_context_missing_flag,prior_mean_intensity_context_fallback_level
new_contextual_feature,prior_mean_occupacion_context,safe_now,rebuilt_from_m9_plus_accident_master,built_in_this_phase,Prior mean traffic occupancy for the row context after hierarchical fallback.,prior_mean_occupacion_context_support_n,prior_mean_occupacion_context_missing_flag,prior_mean_occupacion_context_fallback_level
new_contextual_feature,prior_mean_intensity_context_recent_3y,safe_now,rebuilt_from_m9_plus_accident_master,built_in_this_phase,Trailing three-year prior mean traffic intensity for the row context after hierarchical fallback.,prior_mean_intensity_context_recent_3y_support_n,prior_mean_intensity_context_recent_3y_missing_flag,prior_mean_intensity_context_recent_3y_fallback_level
new_contextual_feature,prior_mean_occupacion_context_recent_3y,safe_now,rebuilt_from_m9_plus_accident_master,built_in_this_phase,Trailing three-year prior mean traffic occupancy for the row context after hierarchical fallback.,prior_mean_occupacion_context_recent_3y_support_n,prior_mean_occupacion_context_recent_3y_missing_flag,prior_mean_occupacion_context_recent_3y_fallback_level
new_contextual_feature,prior_dynamic_context_signal,safe_now,rebuilt_from_m9_plus_accident_master,built_in_this_phase,Leak-safe contextual signal derived from prior joint intensity/occupancy means after fallback resolution.,prior_dynamic_context_signal_support_n,prior_dynamic_context_signal_missing_flag,prior_dynamic_context_signal_fallback_level
new_contextual_feature,prior_dynamic_context_signal_recent_3y,safe_now,rebuilt_from_m9_plus_accident_master,built_in_this_phase,Leak-safe recent contextual signal derived from trailing three-year joint intensity/occupancy means after fallback resolution.,prior_dynamic_context_signal_recent_3y_support_n,prior_dynamic_context_signal_recent_3y_missing_flag,prior_dynamic_context_signal_recent_3y_fallback_level
new_contextual_feature,prior_context_observation_n,safe_now,rebuilt_from_m9_plus_accident_master,built_in_this_phase,Joint prior contextual support count used to build the leak-safe dynamic signal.,prior_context_observation_n,prior_context_observation_n_missing_flag,prior_context_observation_n_fallback_level
new_contextual_feature,prior_context_observation_n_recent_3y,safe_now,rebuilt_from_m9_plus_accident_master,built_in_this_phase,Joint trailing three-year contextual support count used to build the leak-safe dynamic signal.,prior_context_observation_n_recent_3y,prior_context_observation_n_recent_3y_missing_flag,prior_context_observation_n_recent_3y_fallback_level
